CUSTCYCLE.TXT	UDDS+HWY+UDDS+US06
Test Time, secs Target Speed, mph
0 0.0
1210	15.4
1211	17.2
1212	18.3
1213	19.5
1214	20.8
1215	21.3
1216	21.5
1217	21.5
1218	21.4
1219	21.3
1220	21.6
1221	21.9
1222	22.0
1223	21.9
1224	21.8
1225	21.6
1226	21.5
1227	21.3
1228	19.7
1229	19.2
1230	19.0
1231	19.0
1232	19.1
1233	19.4
1234	19.4
1235	17.5
1236	15.4
1237	12.7
1238	10.0
1239	7.5
1240	5.2
1241	3.7
1242	2.4
1243	2.0
1244	0.0
1245	0.0
1246	0.0
1247	0.0
1248	0.0
1249	0.0
1250	0.0
1251	0.0
1252	0.9
1253	1.8
1254	1.6
1255	1.5
1256	1.4
1257	1.8
1258	3.1
1259	3.3
1260	4.3
1261	5.5
1262	8.0
1263	11.0
1264	11.1
1265	9.8
1266	8.6
1267	8.1
1268	8.2
1269	10.3
1270	13.5
1271	16.4
1272	19.1
1273	20.6
1274	21.5
1275	22.2
1276	22.9
1277	23.6
1278	24.0
1279	24.5
1280	24.6
1281	24.2
1282	23.8
1283	23.7
1284	23.6
1285	23.6
1286	23.7
1287	23.7
1288	23.8
1289	24.0
1290	24.3
1291	24.5
1292	24.7
1293	25.0
1294	25.4
1295	25.6
1296	25.9
1297	26.2
1298	26.8
1299	27.6
1300	28.4
1301	29.0
1302	29.2
1303	29.1
1304	28.4
1305	24.7
1306	20.9
1307	17.2
1308	14.1
1309	11.0
1310	7.6
1311	4.0
1312	1.3
1313	0.0
1314	0.1
1315	0.0
1316	0.0
1317	0.0
1318	0.0
1319	0.0
1320	0.0
1321	0.0
1322	0.0
1323	0.0
1324	0.0
1325	0.0
1326	0.0
1327	0.0
1328	0.0
1329	0.0
1330	0.0
1331	0.0
1332	0.0
1333	0.0
1334	0.0
1335	0.0
1336	0.0
1337	0.0
1338	2.5
1339	6.1
1340	9.3
1341	12.4
1342	14.4
1343	15.6
1344	16.8
1345	18.3
1346	19.5
1347	20.2
1348	21.2
1349	21.8
1350	22.1
1351	22.4
1352	22.4
1353	22.1
1354	21.6
1355	21.1
1356	20.5
1357	19.7
1358	18.3
1359	17.4
1360	16.6
1361	15.5
1362	13.6
1363	10.8
1364	7.8
1365	4.6
1366	1.9
1367	0.4
1368	0.0
1369	0.0
1370	0.0
1371	0.0
1372	0.0
1373	0.0
1374	0.0
1375	0.0
1376	0.0
1377	0.0
1378	0.0
1379	0.0
1380	0.0
1381	0.0
1382	0.0
1383	0.0
1384	0.0
1385	0.0
1386	0.0
1387	0.0
1388	0.0
1389	0.0
1390	0.0
1391	0.0
1392	3.0
1393	4.9
1394	7.8
1395	11.0
1396	14.2
1397	17.1
1398	19.8
1399	22.2
1400	24.0
1401	25.4
1402	26.5
1403	27.1
1404	28.3
1405	30.2
1406	31.2
1407	31.8
1408	32.3
1409	32.8
1410	33.4
1411	33.9
1412	34.4
1413	34.7
1414	34.9
1415	35.2
1416	35.5
1417	35.5
1418	35.4
1419	35.1
1420	34.7
1421	34.5
1422	34.6
1423	34.9
1424	35.2
1425	35.4
1426	35.7
1427	36.0
1428	36.2
1429	36.4
1430	36.6
1431	36.6
1432	36.6
1433	36.6
1434	36.6
1435	36.7
1436	36.8
1437	37.1
1438	37.7
1439	38.9
1440	39.7
1441	40.3
1442	40.9
1443	41.4
1444	41.9
1445	42.5
1446	43.2
1447	43.6
1448	43.8
1449	44.2
1450	44.6
1451	44.8
1452	44.9
1453	45.0
1454	45.2
1455	45.6
1456	46.0
1457	46.3
1458	46.6
1459	46.7
1460	46.8
1461	46.9
1462	47.0
1463	47.1
1464	47.2
1465	47.2
1466	47.2
1467	47.0
1468	46.9
1469	46.9
1470	46.9
1471	47.0
1472	47.0
1473	46.9
1474	46.9
1475	46.9
1476	46.8
1477	46.7
1478	46.5
1479	46.2
1480	46.2
1481	46.5
1482	46.6
1483	46.7
1484	47.1
1485	47.2
1486	47.5
1487	47.7
1488	48.0
1489	48.5
1490	48.8
1491	49.0
1492	49.0
1493	48.8
1494	48.9
1495	48.9
1496	48.9
1497	49.0
1498	49.3
1499	49.5
1500	49.6
1501	49.6
1502	49.6
1503	49.4
1504	49.2
1505	49.0
1506	48.8
1507	48.6
1508	48.4
1509	48.1
1510	47.9
1511	47.6
1512	47.4
1513	47.5
1514	47.8
1515	47.9
1516	47.9
1517	47.7
1518	47.6
1519	47.6
1520	47.7
1521	47.7
1522	47.8
1523	47.7
1524	47.4
1525	46.6
1526	43.2
1527	40.3
1528	39.7
1529	39.2
1530	38.9
1531	38.7
1532	38.6
1533	38.7
1534	39.9
1535	41.6
1536	42.4
1537	42.8
1538	43.5
1539	43.9
1540	44.3
1541	44.6
1542	44.7
1543	44.9
1544	45.1
1545	45.2
1546	45.5
1547	45.8
1548	46.1
1549	46.6
1550	46.9
1551	47.0
1552	47.1
1553	47.5
1554	48.0
1555	48.0
1556	47.9
1557	47.8
1558	47.7
1559	47.4
1560	47.0
1561	46.7
1562	46.2
1563	45.9
1564	45.5
1565	45.3
1566	45.2
1567	44.9
1568	44.3
1569	43.3
1570	42.0
1571	41.7
1572	41.5
1573	41.7
1574	43.3
1575	44.1
1576	44.2
1577	43.9
1578	43.7
1579	43.4
1580	43.3
1581	43.3
1582	43.7
1583	44.2
1584	44.5
1585	44.7
1586	44.7
1587	44.4
1588	44.0
1589	43.6
1590	43.3
1591	43.2
1592	43.2
1593	43.0
1594	42.9
1595	42.9
1596	43.2
1597	43.6
1598	43.9
1599	43.8
1600	43.2
1601	41.8
1602	40.7
1603	40.3
1604	40.0
1605	40.1
1606	40.8
1607	42.6
1608	43.1
1609	43.0
1610	42.9
1611	42.9
1612	43.3
1613	44.2
1614	44.8
1615	44.9
1616	45.2
1617	45.6
1618	46.2
1619	46.9
1620	47.1
1621	47.0
1622	46.9
1623	46.9
1624	47.2
1625	47.2
1626	47.1
1627	47.1
1628	47.1
1629	46.9
1630	46.7
1631	46.7
1632	46.9
1633	47.0
1634	47.1
1635	47.5
1636	47.9
1637	48.0
1638	47.9
1639	48.0
1640	47.9
1641	47.9
1642	48.2
1643	48.2
1644	48.0
1645	47.9
1646	48.3
1647	49.0
1648	49.1
1649	49.0
1650	49.2
1651	49.1
1652	48.9
1653	48.7
1654	48.5
1655	48.2
1656	47.9
1657	47.5
1658	47.2
1659	46.8
1660	46.3
1661	46.0
1662	45.7
1663	45.5
1664	45.2
1665	44.9
1666	44.7
1667	44.5
1668	44.2
1669	44.0
1670	43.6
1671	43.1
1672	42.0
1673	39.2
1674	38.7
1675	37.4
1676	36.0
1677	35.0
1678	33.8
1679	33.1
1680	32.4
1681	31.5
1682	30.6
1683	29.3
1684	28.5
1685	28.2
1686	28.0
1687	28.7
1688	32.2
1689	34.3
1690	36.0
1691	37.2
1692	38.9
1693	39.9
1694	40.6
1695	41.7
1696	42.4
1697	42.8
1698	43.2
1699	43.7
1700	44.1
1701	44.5
1702	44.8
1703	45.1
1704	45.3
1705	45.4
1706	45.6
1707	45.7
1708	45.8
1709	46.1
1710	46.7
1711	47.2
1712	47.8
1713	48.3
1714	49.0
1715	49.5
1716	50.0
1717	51.0
1718	51.9
1719	52.9
1720	53.5
1721	53.7
1722	54.2
1723	55.3
1724	56.1
1725	56.4
1726	56.6
1727	56.8
1728	57.0
1729	57.3
1730	57.5
1731	57.6
1732	58.0
1733	58.0
1734	58.2
1735	58.7
1736	58.9
1737	58.9
1738	58.9
1739	58.8
1740	58.7
1741	58.7
1742	58.5
1743	58.4
1744	58.3
1745	58.1
1746	58.0
1747	57.8
1748	57.7
1749	57.5
1750	57.3
1751	57.0
1752	56.8
1753	56.8
1754	56.8
1755	56.8
1756	57.0
1757	56.9
1758	56.8
1759	56.8
1760	56.8
1761	56.7
1762	56.7
1763	56.8
1764	56.7
1765	56.7
1766	56.7
1767	56.6
1768	56.3
1769	56.1
1770	56.2
1771	56.1
1772	56.3
1773	56.6
1774	56.7
1775	56.8
1776	56.7
1777	57.0
1778	57.4
1779	57.4
1780	57.2
